"","X","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","uri","analysis_url"
"585",24,"2s1sdSqGcKxpPr5lCl7jAV",0.399,0.787,1,-2.88,1,0.0499,0.0197,6.07e-05,0.0685,0.574,117.089,216120,5,"spotify:track:2s1sdSqGcKxpPr5lCl7jAV","https://api.spotify.com/v1/audio-analysis/2s1sdSqGcKxpPr5lCl7jAV"
"586",25,"7pNC5ZIKtwUK0ReSpM3P9f",0.741,0.726,3,-3.77,0,0.143,0.181,0.000189,0.111,0.539,163.991,209423,4,"spotify:track:7pNC5ZIKtwUK0ReSpM3P9f","https://api.spotify.com/v1/audio-analysis/7pNC5ZIKtwUK0ReSpM3P9f"
"587",26,"0puf9yIluy9W0vpMEUoAnN",0.703,0.789,0,-3.423,0,0.0928,0.292,0,0.377,0.744,150.058,199387,4,"spotify:track:0puf9yIluy9W0vpMEUoAnN","https://api.spotify.com/v1/audio-analysis/0puf9yIluy9W0vpMEUoAnN"
"588",27,"1BltsyC5W3SAABdxyrDXwi",0.502,0.732,1,-5.45,1,0.168,0.0151,0.000119,0.0897,0.529,122.025,255632,4,"spotify:track:1BltsyC5W3SAABdxyrDXwi","https://api.spotify.com/v1/audio-analysis/1BltsyC5W3SAABdxyrDXwi"
"589",28,"4gbVRS8gloEluzf0GzDOFc",0.745,0.714,1,-5.501,0,0.0302,0.0183,0,0.0636,0.847,120.025,189959,4,"spotify:track:4gbVRS8gloEluzf0GzDOFc","https://api.spotify.com/v1/audio-analysis/4gbVRS8gloEluzf0GzDOFc"
"590",29,"7kqcudBGM74MXVoYMaoWkC",0.845,0.506,1,-5.971,1,0.0409,0.0228,1.03e-06,0.0879,0.637,99.051,264947,4,"spotify:track:7kqcudBGM74MXVoYMaoWkC","https://api.spotify.com/v1/audio-analysis/7kqcudBGM74MXVoYMaoWkC"
"591",30,"5Hroj5K7vLpIG4FNCRIjbP",0.673,0.902,2,-2.378,1,0.0347,0.0629,0.000174,0.0552,0.53,100.016,194240,4,"spotify:track:5Hroj5K7vLpIG4FNCRIjbP","https://api.spotify.com/v1/audio-analysis/5Hroj5K7vLpIG4FNCRIjbP"
"592",31,"6YL5zD4SggAZAQcdPv5r0C",0.729,0.653,5,-3.447,1,0.0307,0.069,6e-05,0.0823,0.412,110.045,209160,4,"spotify:track:6YL5zD4SggAZAQcdPv5r0C","https://api.spotify.com/v1/audio-analysis/6YL5zD4SggAZAQcdPv5r0C"
"593",32,"6YUTL4dYpB9xZO5qExPf05",0.596,0.856,4,-3.556,0,0.0346,0.0211,0.0178,0.141,0.711,127.949,222533,4,"spotify:track:6YUTL4dYpB9xZO5qExPf05","https://api.spotify.com/v1/audio-analysis/6YUTL4dYpB9xZO5qExPf05"
"594",33,"0Y1MWB026LYxGvhq4EcMiC",0.659,0.911,4,-2.28,1,0.0786,0.154,0.000304,0.191,0.598,91.999,169866,4,"spotify:track:0Y1MWB026LYxGvhq4EcMiC","https://api.spotify.com/v1/audio-analysis/0Y1MWB026LYxGvhq4EcMiC"
"595",34,"6jG2YzhxptolDzLHTGLt7S",0.589,0.621,5,-6.902,0,0.0468,0.00969,0.00104,0.181,0.398,140.03,323480,4,"spotify:track:6jG2YzhxptolDzLHTGLt7S","https://api.spotify.com/v1/audio-analysis/6jG2YzhxptolDzLHTGLt7S"
"596",35,"794F99D5BQHS5ZGRXAs7I5",0.965,0.609,9,-6.229,1,0.196,0.0723,8.11e-06,0.268,0.633,129.992,260240,4,"spotify:track:794F99D5BQHS5ZGRXAs7I5","https://api.spotify.com/v1/audio-analysis/794F99D5BQHS5ZGRXAs7I5"
"597",36,"12KUFSHFgT0XCoiSlvdQi4",0.687,0.702,7,-5.324,0,0.0455,0.0064,4.35e-05,0.204,0.254,129.956,214840,4,"spotify:track:12KUFSHFgT0XCoiSlvdQi4","https://api.spotify.com/v1/audio-analysis/12KUFSHFgT0XCoiSlvdQi4"
"598",37,"1yM7GIEJ2QniupkEHOyp0a",0.722,0.845,7,-3.527,1,0.0955,0.073,0,0.0597,0.942,90.958,243240,4,"spotify:track:1yM7GIEJ2QniupkEHOyp0a","https://api.spotify.com/v1/audio-analysis/1yM7GIEJ2QniupkEHOyp0a"
"599",38,"0xMd5bcWTbyXS7wPrBtZA6",0.516,0.772,10,-5.031,0,0.0476,0.296,0,0.101,0.319,87.038,231212,4,"spotify:track:0xMd5bcWTbyXS7wPrBtZA6","https://api.spotify.com/v1/audio-analysis/0xMd5bcWTbyXS7wPrBtZA6"
"600",39,"2sLwPnIP3CUVmIuHranJZU",0.697,0.621,9,-6.886,0,0.25,0.0802,0,0.162,0.696,81.946,193296,4,"spotify:track:2sLwPnIP3CUVmIuHranJZU","https://api.spotify.com/v1/audio-analysis/2sLwPnIP3CUVmIuHranJZU"
"601",40,"3s4U7OHV7gnj42VV72eSZ6",0.799,0.586,11,-6.735,1,0.0377,0.162,2.03e-06,0.193,0.556,120.97,227833,4,"spotify:track:3s4U7OHV7gnj42VV72eSZ6","https://api.spotify.com/v1/audio-analysis/3s4U7OHV7gnj42VV72eSZ6"
"602",41,"0Dc7J9VPV4eOInoxUiZrsL",0.851,0.525,2,-5.221,0,0.0874,0.421,0,0.111,0.387,97.988,266840,4,"spotify:track:0Dc7J9VPV4eOInoxUiZrsL","https://api.spotify.com/v1/audio-analysis/0Dc7J9VPV4eOInoxUiZrsL"
"603",42,"7uc39NPTNiu86GQxTUMzGT",0.712,0.52,7,-7.325,1,0.0565,0.0382,0,0.134,0.637,98.096,217800,4,"spotify:track:7uc39NPTNiu86GQxTUMzGT","https://api.spotify.com/v1/audio-analysis/7uc39NPTNiu86GQxTUMzGT"
"604",43,"2vwlzO0Qp8kfEtzTsCXfyE",0.53,0.422,5,-6.262,1,0.0342,0.407,0,0.107,0.334,119.964,221360,4,"spotify:track:2vwlzO0Qp8kfEtzTsCXfyE","https://api.spotify.com/v1/audio-analysis/2vwlzO0Qp8kfEtzTsCXfyE"
"605",44,"1JmPASoql4lnXimD5ICqRP",0.594,0.729,2,-5.774,1,0.0626,0.271,0,0.383,0.485,86.032,266294,4,"spotify:track:1JmPASoql4lnXimD5ICqRP","https://api.spotify.com/v1/audio-analysis/1JmPASoql4lnXimD5ICqRP"
"606",45,"6F5c58TMEs1byxUstkzVeM",0.671,0.766,7,-4.81,0,0.0323,0.00569,6.85e-06,0.549,0.382,89.968,223546,4,"spotify:track:6F5c58TMEs1byxUstkzVeM","https://api.spotify.com/v1/audio-analysis/6F5c58TMEs1byxUstkzVeM"
"607",46,"1j8z4TTjJ1YOdoFEDwJTQa",0.61,0.893,9,-3.681,1,0.0921,0.154,4.41e-05,0.021,0.666,104.031,296520,4,"spotify:track:1j8z4TTjJ1YOdoFEDwJTQa","https://api.spotify.com/v1/audio-analysis/1j8z4TTjJ1YOdoFEDwJTQa"
"608",47,"2TR7A4ulH9R1PNwMyd8o8U",0.56,0.933,8,-2.969,1,0.0384,0.0208,0,0.404,0.709,132.083,220907,4,"spotify:track:2TR7A4ulH9R1PNwMyd8o8U","https://api.spotify.com/v1/audio-analysis/2TR7A4ulH9R1PNwMyd8o8U"
