"","Song","Artist","Year","Spotify.ID","danceability","energy","tempo","loudness","speechiness","acousticness","instrumentalness","liveness"
"338","LOVE SOMEBODY","Maroon 5",2013,"0HnaqUxvHP5LaWdmWwJpiS",0.675,0.764,120.009,-6.243,0.0373,0.142,0,0.117
"339","I WILL WAIT","Mumford & Sons",2013,"2JHBMVs8E7bJJBLkXpKgHn",0.488,0.752,131.221,-5.131,0.0323,0.0165,0.00541,0.301
"340","TRY","P!nk",2013,"01DSvNTUsVROjnSF5j3UbD",0.673,0.629,103.998,-7.072,0.0299,0.00141,0,0.0944
"341","WAGON WHEEL","Darius Rucker",2013,"3xdjjKMcMOFgo1eQrfbogM",0.529,0.663,148.102,-7.138,0.0306,0.456,0,0.142
"342","GANGNAM STYLE","PSY",2013,"03UrZgTINDqvnUMbbIMhql",0.736,0.939,132.07,-2.812,0.284,0.0055,0,0.0905
"343","I NEED YOUR LOVE","Calvin Harris",2013,"05SBRd4fXgn8FX7bf8BCAE",0.695,0.869,124.989,-5.066,0.0483,0.41,0,0.237
"344","DIE YOUNG","Ke$ha",2013,"6mnjcTmK8TewHfyOp3fC9C",0.711,0.7,128.001,-4.805,0.046,0.00498,0.000125,0.215
"345","SOME NIGHTS","fun.",2013,"6t6oULCRS6hnI7rm0h5gwl",0.672,0.738,107.938,-7.045,0.0506,0.0178,6.75e-05,0.0927
"346","BOYS 'ROUND HERE","Blake Shelton",2013,"39FwE8edwuyiaa4PrGBkP7",0.611,0.688,169.895,-6.369,0.0529,0.251,2.35e-06,0.248
"347","GONE, GONE, GONE","Phillip Phillips",2013,"5L79aNYCTKiZq7vaOElXYj",0.662,0.65,117.992,-5.981,0.0383,0.129,0,0.113
"348","DEMONS","Imagine Dragons",2013,"3LlAyCYU26dvFZBDUIMb7a",0.499,0.73,90.058,-2.831,0.0367,0.23,0.00018,0.378
"349","COUNTING STARS","OneRepublic",2013,"6sy3LkhNFjJWlaeSMNwQ62",0.663,0.714,121.99,-4.944,0.038,0.0649,0,0.116
"350","LITTLE TALKS","Of Monsters And Men",2013,"3a2tuvXCHbW5nuUckuHkKT",0.46,0.786,103.192,-5.238,0.038,0.0215,0,0.133
"351","THE OTHER SIDE","Jason Derulo",2013,"5FljCWR0cys07PQ9277GTz",0.561,0.836,127.923,-3.939,0.1,0.0525,0,0.136
"352","BERZERK","Eminem",2013,"6Xk7PnitV9jCRorWt2LiVZ",0.713,0.876,95.227,-4.049,0.345,0.0228,0,0.247
"353","CATCH MY BREATH","Kelly Clarkson",2013,"5qxPabNDnJQ551Tf4v6k3j",0.692,0.908,124.042,-5.364,0.0677,0.0251,0,0.0933
"354","CRASH MY PARTY","Luke Bryan",2013,"03fT3OHB9KyMtGMt2zwqCT",0.51,0.898,144.056,-3.15,0.0696,0.0832,0,0.071
"355","POUR IT UP","Rihanna",2013,"76VtA90NKurNqaQpV126Ue",0.782,0.495,134.016,-8.723,0.0436,0.021,0,0.104
"356","I WANT CRAZY","Hunter Hayes",2013,"2tC3NZsLgXr9CXvOKon19c",0.562,0.878,103.029,-4.806,0.0387,0.0539,0,0.112
"357","THE FOX","Ylvis",2013,"5HOpkTTVcmZHnthgyxrIL8",0.703,0.867,128.008,-4.292,0.0453,0.107,0,0.119
"358","BEST SONG EVER","One Direction",2013,"5T7ZFtCcOgkpjxcuaeZbw0",0.652,0.877,118.491,-2.986,0.0465,0.0227,0,0.0789
"359","THE A TEAM","Ed Sheeran",2013,"1VdZ0vKfR5jneCmWIUAMxK",0.642,0.289,84.996,-9.918,0.0367,0.669,0,0.18
"360","CARRY ON","fun.",2013,"7gpy7sfWPNuOKmUNs3XQYE",0.388,0.694,145.434,-5.769,0.0735,0.118,0.000293,0.082
"361","HIGHWAY DON'T CARE","Tim McGraw With Taylor Swift",2013,"4wFUdSCer8bdQsrp1M90sa",0.47,0.79,158.061,-5.352,0.039,0.0216,0,0.0863
"362","THAT'S MY KIND OF NIGHT","Luke Bryan",2013,"5HGibWoxnkYSkl6mHmAlOE",0.66,0.754,110.02,-2.84,0.051,0.0626,0,0.1
"363","SWIMMING POOLS (DRANK)","Kendrick Lamar",2013,"6REbwUNlppTfcnV4d4ZoZi",0.714,0.442,148.062,-6.012,0.257,0.0062,0.000135,0.0886
"364","SURE BE COOL IF YOU DID","Blake Shelton",2013,"2byuMQoY8GFXEQ5z3GnXyW",0.576,0.726,136.802,-4.625,0.035,0.255,0,0.108
"365","TROUBLEMAKER","Olly Murs",2013,"0gRczqVHrEQQDyizJUtgRc",0.761,0.856,106.009,-3.65,0.0731,0.02,0,0.149
"366","BODY PARTY","Ciara",2013,"0rFZaQ4crlGAzuCjWCQ2xu",0.577,0.576,133.973,-6.299,0.0563,0.0143,0,0.602
"367","ADORN","Miguel",2013,"3trS6e40JCVUOpPVt5OdHj",0.625,0.576,179.063,-5.693,0.175,0.0543,4.07e-05,0.187
"368","HALL OF FAME","The Script",2013,"1X1DWw2pcNZ8zSub3uhlNz",0.421,0.873,84.803,-4.343,0.0565,0.0653,0,0.123
"369","LET ME LOVE YOU (UNTIL YOU LEARN TO LOVE YOURSELF)","Ne-Yo",2013,"1Ejsu5JglwIgrFW7Bt2GuL",0.491,0.676,124.852,-6.631,0.0403,0.262,0,0.499
"370","U.O.E.N.O.","Rocko",2013,"0HFrCOmhCYXlv4NdEwRAuj",0.422,0.641,187.027,-4.947,0.323,0.422,0,0.317
"371","NEXT TO ME","Emeli Sande",2013,"1Xsxp1SEOxuMzjrFZhtw8u",0.674,0.81,94.995,-5.117,0.0378,0.0923,4.74e-05,0.11
"372","MAMA'S BROKEN HEART","Miranda Lambert",2013,"2mXsZsJBThTaJXbNcg5QD4",0.768,0.809,111.989,-4.204,0.0616,0.278,0,0.139
"373","IT GOES LIKE THIS","Thomas Rhett",2013,"6GsAD8PgHxmEuIPTG8GP3M",0.533,0.84,168.048,-6.377,0.0634,0.126,0,0.0869
"374","BUGATTI","Ace Hood",2013,"0uFvvXbmGIXlf5ZgtHyYpf",0.607,0.589,130.431,-4.929,0.0542,0.0168,0,0.0855
"375","WANTED","Hunter Hayes",2013,"0p1BcEcYVO3uk4KDf3gzkY",0.421,0.476,169.784,-7.692,0.0298,0.268,0,0.0816
"376","DOWNTOWN","Lady Antebellum",2013,"4kY7rYtE4OQkJNq22OIYRI",0.532,0.825,169.961,-5.287,0.0468,0.18,0,0.296
"377","#THATPOWER","will.i.am",2013,"01TuObJVd7owWchVRuQbQw",0.791,0.615,128.017,-6.149,0.0667,0.00162,6.47e-05,0.0812
"378","BRAVE","Sara Bareilles",2013,"6Uy6K3KdmUdAfelUp0SeXn",0.551,0.836,185.063,-3.838,0.0524,0.00502,2.1e-05,0.0425
"379","RUNNIN' OUTTA MOONLIGHT","Randy Houser",2013,"7CL6oaDC9d0QXFMQRkNBmy",0.532,0.801,172.05,-3.759,0.0393,0.0371,7.07e-06,0.0633
"380","I'M DIFFERENT","2 Chainz",2013,"6J5sxraPPZ4b0CVOGAgpXj",0.941,0.685,97.524,-5.24,0.0752,0.0415,0,0.08
"381","STILL INTO YOU","Paramore",2013,"1yjY7rpaAQvKwpdUliHx0d",0.602,0.923,136.01,-3.763,0.044,0.0098,0,0.0561
"382","SOMEBODY THAT I USED TO KNOW","Gotye",2012,"4wCmqSrbyCgxEXROQE6vtV",0.857,0.517,129.063,-6.972,0.0384,0.565,0.000195,0.102
"383","CALL ME MAYBE","Carly Rae Jepsen",2012,"6ol4ZSifr7r3Lb2a9L5ZAB",0.781,0.599,120.053,-6.501,0.0436,0.0109,1.12e-06,0.109
"384","WE ARE YOUNG","fun.",2012,"7a86XRg84qjasly9f6bPSD",0.378,0.638,184.086,-5.576,0.075,0.02,7.66e-05,0.0849
"385","PAYPHONE","Maroon 5",2012,"1LmN9SSHISbtp9LoaR5ZVJ",0.74,0.746,110.01,-4.696,0.0424,0.0198,0,0.363
"386","LIGHTS","Ellie Goulding",2012,"7gUpO6td4OOnu0Lf9vhcIV",0.684,0.794,120.024,-6.08,0.0375,0.0344,0.0445,0.111
"387","GLAD YOU CAME","The Wanted",2012,"1OXfWI3FQMdsKKC6lkvzSx",0.698,0.844,126.937,-4.549,0.067,0.0577,1.69e-05,0.105
"388","STRONGER (WHAT DOESN'T KILL YOU)","Kelly Clarkson",2012,"6D60klaHqbCl9ySc8VcRss",0.562,0.939,116.044,-4.282,0.0475,0.046,0,0.112
"389","WE FOUND LOVE","Rihanna",2012,"6qn9YLKt13AGvpq9jfO8py",0.737,0.758,128.007,-4.389,0.057,0.0253,0.0019,0.169
"390","STARSHIPS","Nicki Minaj",2012,"59RSrxkSKSixEWBAIvE5Wa",0.748,0.727,125.014,-2.42,0.0871,0.167,0,0.166
"391","WHAT MAKES YOU BEAUTIFUL","One Direction",2012,"3SPDQfj2UfWq6A2NllZnzn",0.729,0.771,125.011,-2.451,0.0725,0.00761,0,0.087
"392","WILD ONES","Flo Rida",2012,"1NpW5kyvO4XrNJ3rnfcNy3",0.608,0.86,127.075,-5.324,0.0554,0.0991,0,0.262
"393","SET FIRE TO THE RAIN","Adele",2012,"3CKCZ9pfwAfoMZlMncA1Nc",0.61,0.683,108.003,-3.879,0.0253,0.00382,1.79e-06,0.125
"394","SEXY AND I KNOW IT","LMFAO",2012,"0obBFrPYkSoBJbvHfUIhkv",0.698,0.875,129.986,-4.164,0.322,0.115,0,0.166
"395","SOME NIGHTS","fun.",2012,"6t6oULCRS6hnI7rm0h5gwl",0.672,0.738,107.938,-7.045,0.0506,0.0178,6.75e-05,0.0927
"396","WIDE AWAKE","Katy Perry",2012,"5JLv62qFIS1DR3zGEcApRt",0.514,0.683,159.814,-5.099,0.0367,0.0749,2.64e-06,0.392
"397","GOOD FEELING","Flo Rida",2012,"3NcO4jGK1Opb5ea0mYLpxb",0.706,0.89,128.011,-4.444,0.0688,0.0588,0.00286,0.306
"398","WHISTLE","Flo Rida",2012,"0ltBH1JNzSvQJPjJpvTu9B",0.754,0.933,103.992,-5.786,0.0448,0.0199,0,0.297
"399","ONE MORE NIGHT","Maroon 5",2012,"4XNrMwGx1SqP01sqkGTDmo",0.71,0.8,93.01,-3.439,0.0339,0.0563,0,0.0834
"400","DRIVE BY","Train",2012,"1wAXODAAL6hY64ZdhrnjBO",0.759,0.849,122.033,-3.198,0.0317,0.000983,1.51e-05,0.0864
